               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.034598,            0.044523,           0.0073893,             0.53398,             0.80539,             0.69494,             0.43266,            0.030886,            0.040219,           0.0065379,            0.005809,            0.005809,            0.005809
                 129,            0.033252,            0.043381,           0.0073197,             0.53564,               0.643,             0.74518,             0.49269,            0.029425,            0.039701,           0.0062906,            0.005776,            0.005776,            0.005776
                 130,            0.034862,            0.041363,            0.007676,             0.53463,             0.63579,             0.75031,             0.46393,            0.032509,            0.043107,           0.0059955,            0.005743,            0.005743,            0.005743
                 131,            0.034353,            0.040737,            0.007642,              0.5417,             0.69173,             0.72342,             0.45748,            0.030305,            0.040186,           0.0067191,             0.00571,             0.00571,             0.00571
                 132,            0.034872,            0.042155,           0.0071763,              0.6212,              0.8065,             0.76886,             0.47008,            0.030941,            0.040349,           0.0060028,            0.005677,            0.005677,            0.005677
                 133,            0.033223,            0.038567,           0.0075276,             0.54284,             0.71374,             0.66959,             0.41807,            0.030964,              0.0407,           0.0057824,            0.005644,            0.005644,            0.005644
                 134,            0.035228,            0.043981,           0.0071013,             0.56328,             0.77283,              0.7434,             0.46881,            0.030819,            0.040546,           0.0058166,            0.005611,            0.005611,            0.005611
                 135,            0.032577,            0.040818,           0.0067799,             0.44542,             0.75614,              0.6563,             0.40147,            0.032041,            0.044799,           0.0065677,            0.005578,            0.005578,            0.005578
                 136,            0.034917,             0.04225,           0.0063116,             0.49786,             0.63465,             0.76051,             0.46228,            0.030996,            0.038925,            0.005711,            0.005545,            0.005545,            0.005545
                 137,            0.032524,            0.041184,            0.006408,             0.55678,             0.64619,             0.70053,             0.43977,            0.030547,            0.039544,           0.0063404,            0.005512,            0.005512,            0.005512
                 138,            0.032175,            0.039877,           0.0068621,             0.57674,              0.7285,             0.75208,             0.48343,            0.030555,            0.039967,           0.0062369,            0.005479,            0.005479,            0.005479
                 139,            0.031508,            0.039526,           0.0056902,              0.6308,             0.64657,             0.73481,             0.44656,            0.031159,            0.040545,           0.0061624,            0.005446,            0.005446,            0.005446
                 140,            0.033337,            0.041213,           0.0074655,             0.51068,             0.76992,             0.71027,             0.43007,            0.031805,               0.041,           0.0056207,            0.005413,            0.005413,            0.005413
                 141,            0.032571,            0.038636,           0.0065957,             0.72219,             0.52636,             0.62338,             0.36996,             0.03268,            0.046922,           0.0065797,             0.00538,             0.00538,             0.00538
                 142,            0.034812,            0.040881,           0.0073063,             0.63381,             0.71484,              0.7705,             0.46171,            0.032781,            0.039887,           0.0060432,            0.005347,            0.005347,            0.005347
                 143,            0.031705,            0.041024,           0.0069129,             0.64106,             0.70248,             0.74279,              0.4634,            0.030554,            0.040052,           0.0054041,            0.005314,            0.005314,            0.005314
                 144,            0.031507,            0.040069,           0.0061255,             0.55219,             0.66628,             0.69668,             0.41847,            0.033005,            0.040653,           0.0059374,            0.005281,            0.005281,            0.005281
                 145,            0.033229,            0.039249,            0.006108,             0.52317,               0.771,             0.69762,             0.44112,            0.030556,            0.039535,           0.0054359,            0.005248,            0.005248,            0.005248
                 146,            0.030746,            0.040549,           0.0062084,             0.58047,             0.67681,             0.72906,                0.43,              0.0321,            0.042347,           0.0050585,            0.005215,            0.005215,            0.005215
                 147,            0.031676,            0.041107,           0.0065656,             0.57893,               0.771,             0.75561,             0.47054,             0.03098,            0.039383,           0.0053657,            0.005182,            0.005182,            0.005182
                 148,            0.031533,            0.040833,           0.0065646,             0.61055,             0.76084,             0.74824,             0.48252,            0.031027,            0.040651,            0.005191,            0.005149,            0.005149,            0.005149
                 149,            0.030767,            0.040763,             0.00659,             0.57929,             0.75536,              0.7314,              0.4396,            0.031103,            0.040235,           0.0055763,            0.005116,            0.005116,            0.005116
                 150,            0.032913,            0.040344,           0.0058356,             0.54561,              0.6956,             0.72477,             0.45426,            0.031162,            0.039095,           0.0049459,            0.005083,            0.005083,            0.005083
                 151,            0.031581,            0.040413,           0.0057294,             0.61237,             0.73242,             0.76431,             0.48273,            0.030475,            0.039359,           0.0046877,             0.00505,             0.00505,             0.00505
                 152,            0.031678,            0.041344,           0.0061853,             0.61233,             0.75493,             0.77827,             0.50166,            0.030796,            0.039196,           0.0053626,            0.005017,            0.005017,            0.005017
                 153,            0.030394,             0.03857,           0.0063794,             0.63864,             0.81775,             0.78141,             0.48246,            0.029985,            0.040577,           0.0048959,            0.004984,            0.004984,            0.004984
                 154,            0.032215,            0.041034,           0.0063148,              0.6246,              0.8465,              0.7834,             0.46414,            0.030447,             0.04062,            0.005044,            0.004951,            0.004951,            0.004951
                 155,            0.032037,            0.039111,           0.0061831,             0.71722,             0.81992,             0.77109,             0.44686,            0.030748,            0.038785,           0.0050258,            0.004918,            0.004918,            0.004918
                 156,            0.032637,            0.044441,           0.0062735,              0.6391,             0.71867,             0.76218,             0.44698,            0.031782,            0.041047,           0.0049898,            0.004885,            0.004885,            0.004885
                 157,            0.033764,            0.041369,           0.0061401,             0.65734,             0.82014,             0.79311,             0.48446,            0.029966,            0.040621,           0.0050598,            0.004852,            0.004852,            0.004852
                 158,            0.030617,            0.039012,           0.0057796,             0.54425,             0.77259,             0.76644,             0.46919,            0.030512,            0.039271,           0.0048613,            0.004819,            0.004819,            0.004819
                 159,            0.032282,            0.038997,           0.0058147,             0.59813,             0.87283,             0.80905,             0.51596,            0.029965,            0.039031,            0.004737,            0.004786,            0.004786,            0.004786
